word,sym1,sym2,sym3,sym4
amazing,shocking,fabulous
terrific,awesome
unbelievable,incredible
fancy,beautiful,gorgeous
impressive,striking
fantastic,wonderful
adorable,lovely,cute
vibrant,energetic
attractive,charming,alluring,appealing
splendid,magnificent,glorious,divine
remarkable,outstanding,sensational,noticeable
elegant,graceful
tremendous,enormous
marvelous,extraordinary,exceptional
brilliant,shining,smart,dazzling,radiant
fascinating,captivating
exquisite,delicate
stunning,astounding
impeccable,perfect
